,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k
,,,,,,,,,,,,,,0.582062866,1.904937,0.582062866,0.00222
,,,,,,,,,,,,,,0.583648254,1.903966,0.583648254,0.002227
,,,,,,,,,,,,,,0.585233521,1.902997,0.585233521,0.002233
,,,,,,,,,,,,,,0.586818726,1.902029,0.586818726,0.00224
,,,,,,,,,,,,,,0.588403931,1.901064,0.588403931,0.002248
,,,,,,,,,,,,,,0.589989014,1.900101,0.589989014,0.002255
,,,,,,,,,,,,,,0.591574036,1.899139,0.591574036,0.002263
,,,,,,,,,,,,,,0.593158997,1.89818,0.593158997,0.002271
,,,,,,,,,,,,,,0.594743896,1.897221,0.594743896,0.00228
,,,,,,,,,,,,,,0.596328735,1.896265,0.596328735,0.002288
,,,,,,,,,,,,,,0.597913452,1.89531,0.597913452,0.002297
,,,,,,,,,,,,,,0.599498169,1.894357,0.599498169,0.002306
,,,,,,,,,,,,,,0.601082825,1.893405,0.601082825,0.002316
,,,,,,,,,,,,,,0.602667358,1.892454,0.602667358,0.002326
,,,,,,,,,,,,,,0.604251831,1.891505,0.604251831,0.002336
,,,,,,,,,,,,,,0.605836304,1.890557,0.605836304,0.002346
,,,,,,,,,,,,,,0.607420654,1.889611,0.607420654,0.002356
,,,,,,,,,,,,,,0.609004944,1.888666,0.609004944,0.002367
,,,,,,,,,,,,,,0.610589111,1.887722,0.610589111,0.002378
,,,,,,,,,,,,,,0.612173218,1.886779,0.612173218,0.002389
,,,,,,,,,,,,,,0.613757324,1.885837,0.613757324,0.0024
,,,,,,,,,,,,,,0.615341309,1.884897,0.615341309,0.002412
,,,,,,,,,,,,,,0.616925232,1.883957,0.616925232,0.002424
,,,,,,,,,,,,,,0.618509094,1.883018,0.618509094,0.002436
,,,,,,,,,,,,,,0.620092834,1.882081,0.620092834,0.002448
,,,,,,,,,,,,,,0.621676575,1.881144,0.621676575,0.002461
,,,,,,,,,,,,,,0.623260132,1.880208,0.623260132,0.002473
,,,,,,,,,,,,,,0.624843689,1.879273,0.624843689,0.002486
,,,,,,,,,,,,,,0.626427124,1.878339,0.626427124,0.002499
,,,,,,,,,,,,,,0.628010559,1.877406,0.628010559,0.002512
,,,,,,,,,,,,,,0.629593872,1.876473,0.629593872,0.002526
,,,,,,,,,,,,,,0.631177124,1.875541,0.631177124,0.00254
,,,,,,,,,,,,,,0.632760254,1.874609,0.632760254,0.002553
,,,,,,,,,,,,,,0.634343384,1.873679,0.634343384,0.002568
,,,,,,,,,,,,,,0.635926331,1.872749,0.635926331,0.002582
,,,,,,,,,,,,,,0.637509277,1.871819,0.637509277,0.002596
,,,,,,,,,,,,,,0.639092102,1.87089,0.639092102,0.002611
,,,,,,,,,,,,,,0.640674866,1.869961,0.640674866,0.002626
,,,,,,,,,,,,,,0.642257507,1.869033,0.642257507,0.002641
,,,,,,,,,,,,,,0.643840149,1.868105,0.643840149,0.002656
,,,,,,,,,,,,,,0.645422668,1.867178,0.645422668,0.002671
,,,,,,,,,,,,,,0.647005066,1.866251,0.647005066,0.002687
,,,,,,,,,,,,,,0.648587402,1.865324,0.648587402,0.002702
,,,,,,,,,,,,,,0.650169678,1.864398,0.650169678,0.002718
,,,,,,,,,,,,,,0.651751831,1.863472,0.651751831,0.002734
,,,,,,,,,,,,,,0.653333923,1.862546,0.653333923,0.002751
,,,,,,,,,,,,,,0.654915894,1.861621,0.654915894,0.002767
,,,,,,,,,,,,,,0.656497864,1.860695,0.656497864,0.002784
,,,,,,,,,,,,,,0.658079712,1.85977,0.658079712,0.0028
,,,,,,,,,,,,,,0.659661438,1.858845,0.659661438,0.002817
,,,,,,,,,,,,,,0.661243042,1.85792,0.661243042,0.002834
,,,,,,,,,,,,,,0.662824646,1.856995,0.662824646,0.002852
,,,,,,,,,,,,,,0.664406128,1.856071,0.664406128,0.002869
,,,,,,,,,,,,,,0.665987549,1.855146,0.665987549,0.002887
,,,,,,,,,,,,,,0.667568848,1.854221,0.667568848,0.002904
,,,,,,,,,,,,,,0.669150024,1.853296,0.669150024,0.002922
,,,,,,,,,,,,,,0.67073114,1.852372,0.67073114,0.00294
,,,,,,,,,,,,,,0.672312195,1.851447,0.672312195,0.002959
,,,,,,,,,,,,,,0.673893127,1.850522,0.673893127,0.002977
,,,,,,,,,,,,,,0.675473999,1.849597,0.675473999,0.002996
,,,,,,,,,,,,,,0.677054749,1.848671,0.677054749,0.003014
,,,,,,,,,,,,,,0.678635376,1.847746,0.678635376,0.003033
,,,,,,,,,,,,,,0.680215942,1.846821,0.680215942,0.003052
,,,,,,,,,,,,,,0.681796448,1.845895,0.681796448,0.003071
,,,,,,,,,,,,,,0.683376831,1.844969,0.683376831,0.003091
,,,,,,,,,,,,,,0.684957092,1.844043,0.684957092,0.00311
,,,,,,,,,,,,,,0.686537231,1.843116,0.686537231,0.00313
,,,,,,,,,,,,,,0.688117371,1.84219,0.688117371,0.00315
,,,,,,,,,,,,,,0.689697388,1.841263,0.689697388,0.003169
,,,,,,,,,,,,,,0.691277222,1.840335,0.691277222,0.00319
,,,,,,,,,,,,,,0.692857056,1.839408,0.692857056,0.00321
,,,,,,,,,,,,,,0.694436768,1.83848,0.694436768,0.00323
,,,,,,,,,,,,,,0.696016357,1.837551,0.696016357,0.003251
,,,,,,,,,,,,,,0.697595825,1.836622,0.697595825,0.003272
,,,,,,,,,,,,,,0.699175232,1.835693,0.699175232,0.003292
,,,,,,,,,,,,,,0.700754578,1.834763,0.700754578,0.003313
,,,,,,,,,,,,,,0.702333801,1.833833,0.702333801,0.003335
,,,,,,,,,,,,,,0.703912903,1.832903,0.703912903,0.003356
,,,,,,,,,,,,,,0.705491821,1.831972,0.705491821,0.003377
,,,,,,,,,,,,,,0.70707074,1.83104,0.70707074,0.003399
,,,,,,,,,,,,,,0.708649536,1.830108,0.708649536,0.003421
,,,,,,,,,,,,,,0.71022821,1.829175,0.71022821,0.003443
,,,,,,,,,,,,,,0.711806824,1.828242,0.711806824,0.003465
,,,,,,,,,,,,,,0.713385315,1.827308,0.713385315,0.003487
,,,,,,,,,,,,,,0.714963684,1.826374,0.714963684,0.003509
,,,,,,,,,,,,,,0.716541931,1.825439,0.716541931,0.003532
,,,,,,,,,,,,,,0.718120117,1.824503,0.718120117,0.003554
,,,,,,,,,,,,,,0.719698181,1.823567,0.719698181,0.003577
,,,,,,,,,,,,,,0.721276123,1.82263,0.721276123,0.0036
,,,,,,,,,,,,,,0.722853943,1.821692,0.722853943,0.003623
,,,,,,,,,,,,,,0.724431702,1.820754,0.724431702,0.003647
,,,,,,,,,,,,,,0.726009338,1.819815,0.726009338,0.00367
,,,,,,,,,,,,,,0.727586853,1.818875,0.727586853,0.003693
,,,,,,,,,,,,,,0.729164246,1.817935,0.729164246,0.003717
,,,,,,,,,,,,,,0.730741577,1.816993,0.730741577,0.003741
,,,,,,,,,,,,,,0.732318726,1.816051,0.732318726,0.003765
,,,,,,,,,,,,,,0.733895874,1.815108,0.733895874,0.003789
,,,,,,,,,,,,,,0.735472778,1.814165,0.735472778,0.003813
,,,,,,,,,,,,,,0.737049683,1.813221,0.737049683,0.003838
,,,,,,,,,,,,,,0.738626404,1.812275,0.738626404,0.003862
,,,,,,,,,,,,,,0.740203003,1.811329,0.740203003,0.003887
,,,,,,,,,,,,,,0.741779541,1.810382,0.741779541,0.003912
,,,,,,,,,,,,,,0.743355957,1.809435,0.743355957,0.003937
,,,,,,,,,,,,,,0.744932251,1.808486,0.744932251,0.003962
,,,,,,,,,,,,,,0.746508423,1.807536,0.746508423,0.003988
,,,,,,,,,,,,,,0.748084412,1.806586,0.748084412,0.004013
,,,,,,,,,,,,,,0.7496604,1.805634,0.7496604,0.004039
,,,,,,,,,,,,,,0.751236206,1.804682,0.751236206,0.004064
,,,,,,,,,,,,,,0.75281189,1.803729,0.75281189,0.00409
,,,,,,,,,,,,,,0.754387512,1.802775,0.754387512,0.004116
,,,,,,,,,,,,,,0.755963013,1.80182,0.755963013,0.004143
,,,,,,,,,,,,,,0.75753833,1.800864,0.75753833,0.004169
,,,,,,,,,,,,,,0.759113586,1.799906,0.759113586,0.004195
,,,,,,,,,,,,,,0.76068866,1.798948,0.76068866,0.004222
,,,,,,,,,,,,,,0.762263672,1.797989,0.762263672,0.004249
,,,,,,,,,,,,,,0.763838501,1.797029,0.763838501,0.004276
,,,,,,,,,,,,,,0.765413269,1.796068,0.765413269,0.004303
,,,,,,,,,,,,,,0.766987915,1.795106,0.766987915,0.00433
,,,,,,,,,,,,,,0.768562378,1.794142,0.768562378,0.004358
,,,,,,,,,,,,,,0.770136841,1.793178,0.770136841,0.004385
,,,,,,,,,,,,,,0.77171106,1.792212,0.77171106,0.004413
,,,,,,,,,,,,,,0.773285217,1.791246,0.773285217,0.004441
,,,,,,,,,,,,,,0.774859253,1.790278,0.774859253,0.004469
,,,,,,,,,,,,,,0.776433105,1.789309,0.776433105,0.004497
,,,,,,,,,,,,,,0.778006836,1.788339,0.778006836,0.004525
,,,,,,,,,,,,,,0.779580444,1.787368,0.779580444,0.004554
,,,,,,,,,,,,,,0.781153992,1.786396,0.781153992,0.004582
,,,,,,,,,,,,,,0.782727417,1.785423,0.782727417,0.004611
,,,,,,,,,,,,,,0.784300659,1.784448,0.784300659,0.00464
,,,,,,,,,,,,,,0.785873779,1.783472,0.785873779,0.004669
,,,,,,,,,,,,,,0.787446777,1.782495,0.787446777,0.004698
,,,,,,,,,,,,,,0.789019653,1.781517,0.789019653,0.004728
,,,,,,,,,,,,,,0.790592407,1.780538,0.790592407,0.004757
,,,,,,,,,,,,,,0.792164978,1.779557,0.792164978,0.004787
,,,,,,,,,,,,,,0.793737427,1.778576,0.793737427,0.004817
,,,,,,,,,,,,,,0.795309814,1.777593,0.795309814,0.004847
,,,,,,,,,,,,,,0.796882019,1.776608,0.796882019,0.004877
,,,,,,,,,,,,,,0.798454163,1.775623,0.798454163,0.004907
,,,,,,,,,,,,,,0.800026062,1.774636,0.800026062,0.004938
,,,,,,,,,,,,,,0.8015979,1.773648,0.8015979,0.004968
,,,,,,,,,,,,,,0.803169556,1.772659,0.803169556,0.004999
,,,,,,,,,,,,,,0.80474115,1.771668,0.80474115,0.00503
,,,,,,,,,,,,,,0.806312561,1.770676,0.806312561,0.005061
,,,,,,,,,,,,,,0.80788385,1.769683,0.80788385,0.005092
,,,,,,,,,,,,,,0.809454956,1.768688,0.809454956,0.005124
,,,,,,,,,,,,,,0.811026001,1.767692,0.811026001,0.005155
,,,,,,,,,,,,,,0.812596863,1.766695,0.812596863,0.005187
,,,,,,,,,,,,,,0.814167603,1.765696,0.814167603,0.005219
,,,,,,,,,,,,,,0.81573822,1.764696,0.81573822,0.005251
,,,,,,,,,,,,,,0.817308716,1.763695,0.817308716,0.005283
,,,,,,,,,,,,,,0.818879028,1.762692,0.818879028,0.005316
,,,,,,,,,,,,,,0.820449219,1.761688,0.820449219,0.005348
,,,,,,,,,,,,,,0.822019226,1.760682,0.822019226,0.005381
,,,,,,,,,,,,,,0.823589172,1.759675,0.823589172,0.005414
,,,,,,,,,,,,,,0.825158997,1.758667,0.825158997,0.005447
,,,,,,,,,,,,,,0.826728516,1.757657,0.826728516,0.00548
,,,,,,,,,,,,,,0.828298035,1.756645,0.828298035,0.005513
,,,,,,,,,,,,,,0.829867371,1.755633,0.829867371,0.005547
,,,,,,,,,,,,,,0.831436646,1.754619,0.831436646,0.00558
,,,,,,,,,,,,,,0.833005676,1.753603,0.833005676,0.005614
,,,,,,,,,,,,,,0.834574524,1.752586,0.834574524,0.005648
,,,,,,,,,,,,,,0.836143372,1.751567,0.836143372,0.005682
,,,,,,,,,,,,,,0.837711914,1.750547,0.837711914,0.005717
,,,,,,,,,,,,,,0.839280457,1.749526,0.839280457,0.005751
,,,,,,,,,,,,,,0.840848755,1.748503,0.840848755,0.005786
,,,,,,,,,,,,,,0.842416992,1.747478,0.842416992,0.005821
,,,,,,,,,,,,,,0.843984985,1.746452,0.843984985,0.005856
,,,,,,,,,,,,,,0.845552917,1.745425,0.845552917,0.005891
,,,,,,,,,,,,,,0.847120605,1.744396,0.847120605,0.005926
,,,,,,,,,,,,,,0.848688171,1.743365,0.848688171,0.005962
,,,,,,,,,,,,,,0.850255676,1.742333,0.850255676,0.005997
,,,,,,,,,,,,,,0.851822937,1.741299,0.851822937,0.006033
,,,,,,,,,,,,,,0.853390137,1.740264,0.853390137,0.006069
,,,,,,,,,,,,,,0.854957153,1.739227,0.854957153,0.006105
,,,,,,,,,,,,,,0.856524048,1.738189,0.856524048,0.006142
,,,,,,,,,,,,,,0.858090698,1.737149,0.858090698,0.006178
,,,,,,,,,,,,,,0.859657227,1.736107,0.859657227,0.006215
,,,,,,,,,,,,,,0.861223633,1.735064,0.861223633,0.006252
