nb1,nb2,si1,si2
2.219868,,1.538575,
2.219718,,1.538546,
2.219569,,1.538518,
2.219421,,1.53849,
2.219274,,1.538462,
2.219127,,1.538435,
2.218982,,1.538407,
2.218837,,1.53838,
2.218693,,1.538352,
2.21855,,1.538325,
2.218408,,1.538299,
2.218267,,1.538272,
2.218126,,1.538245,
2.217986,,1.538219,
2.217848,,1.538193,
2.217709,,1.538166,
2.217572,,1.538141,
2.217435,,1.538115,
2.2173,,1.538089,
2.217165,,1.538064,
2.21703,,1.538038,
2.216897,,1.538013,
2.216764,,1.537988,
2.216632,,1.537963,
2.216501,,1.537938,
2.21637,,1.537913,
2.21624,,1.537889,
2.216111,,1.537864,
2.215983,,1.53784,
2.215855,,1.537816,
2.215728,,1.537792,
2.215602,,1.537768,
2.215477,,1.537744,
2.215352,,1.537721,
2.215227,,1.537697,
2.215104,,1.537674,
2.214981,,1.537651,
2.214859,,1.537628,
2.214738,,1.537605,
2.214617,,1.537582,
2.214497,,1.537559,
2.214377,,1.537537,
2.214258,,1.537514,
2.21414,,1.537492,
2.214022,,1.53747,
2.213906,,1.537448,
2.213789,,1.537426,
2.213673,,1.537404,
2.213558,,1.537382,
2.213444,,1.53736,
2.21333,,1.537339,
2.213217,,1.537318,
2.213104,,1.537296,
2.212992,,1.537275,
2.212881,,1.537254,
2.21277,,1.537233,
2.21266,,1.537212,
2.21255,,1.537192,
2.212441,,1.537171,
2.212332,,1.537151,
2.212224,,1.53713,
2.212117,,1.53711,
2.21201,,1.53709,
2.211904,,1.53707,
2.211798,,1.53705,
2.211693,,1.53703,
2.211588,,1.53701,
2.211484,,1.53699,
2.21138,,1.536971,
2.211277,,1.536951,
2.211175,,1.536932,
2.211073,,1.536913,
2.210971,,1.536894,
2.21087,,1.536875,
