n_top,n_bot,k_top,k_bot
1.904733,1.964607,0.000365,0.000385
1.90407,1.963907,0.000362,0.000382
1.903406,1.963208,0.000359,0.000379
1.902743,1.962508,0.000356,0.000376
1.90208,1.961808,0.000354,0.000373
1.901417,1.961109,0.000351,0.00037
1.900754,1.960409,0.000348,0.000367
1.900091,1.959709,0.000346,0.000365
1.899427,1.95901,0.000343,0.000362
1.898764,1.95831,0.000341,0.000359
1.898101,1.95761,0.000338,0.000357
1.897438,1.95691,0.000336,0.000354
1.896774,1.95621,0.000333,0.000352
1.896111,1.95551,0.000331,0.000349
1.895447,1.954811,0.000329,0.000347
1.894784,1.95411,0.000326,0.000344
1.89412,1.95341,0.000324,0.000342
1.893456,1.95271,0.000322,0.00034
1.892792,1.952009,0.00032,0.000338
1.892128,1.951308,0.000318,0.000335
1.891464,1.950608,0.000316,0.000333
1.8908,1.949907,0.000314,0.000331
1.890135,1.949205,0.000312,0.000329
1.889471,1.948504,0.00031,0.000327
1.888806,1.947802,0.000308,0.000325
1.888141,1.947101,0.000306,0.000323
1.887475,1.946399,0.000304,0.000321
1.88681,1.945696,0.000302,0.000319
1.886144,1.944994,0.0003,0.000317
1.885478,1.944291,0.000299,0.000315
1.884812,1.943588,0.000297,0.000313
1.884146,1.942885,0.000295,0.000312
1.883479,1.942182,0.000294,0.00031
1.882812,1.941478,0.000292,0.000308
1.882145,1.940774,0.00029,0.000306
1.881478,1.94007,0.000289,0.000305
1.88081,1.939365,0.000287,0.000303
1.880142,1.93866,0.000286,0.000302
1.879474,1.937955,0.000284,0.0003
1.878805,1.937249,0.000283,0.000299
1.878136,1.936543,0.000281,0.000297
1.877467,1.935837,0.00028,0.000296
1.876797,1.93513,0.000279,0.000294
1.876127,1.934423,0.000277,0.000293
1.875457,1.933716,0.000276,0.000291
1.874787,1.933008,0.000275,0.00029
1.874116,1.9323,0.000273,0.000289
1.873444,1.931592,0.000272,0.000287
1.872773,1.930883,0.000271,0.000286
1.8721,1.930173,0.00027,0.000285
1.871428,1.929464,0.000269,0.000283
1.870755,1.928753,0.000267,0.000282
1.870082,1.928043,0.000266,0.000281
1.869408,1.927332,0.000265,0.00028
1.868734,1.92662,0.000264,0.000279
1.868059,1.925908,0.000263,0.000278
1.867384,1.925196,0.000262,0.000277
1.866709,1.924483,0.000261,0.000275
1.866033,1.92377,0.00026,0.000274
1.865357,1.923056,0.000259,0.000273
1.86468,1.922341,0.000258,0.000272
1.864003,1.921627,0.000257,0.000271
1.863325,1.920911,0.000256,0.00027
1.862647,1.920195,0.000255,0.00027
1.861968,1.919479,0.000254,0.000269
1.861289,1.918762,0.000254,0.000268
1.860609,1.918045,0.000253,0.000267
1.859929,1.917327,0.000252,0.000266
1.859249,1.916608,0.000251,0.000265
1.858567,1.915889,0.00025,0.000264
1.857886,1.91517,0.00025,0.000263
1.857204,1.914449,0.000249,0.000263
1.856521,1.913729,0.000248,0.000262
1.855838,1.913007,0.000247,0.000261
1.855154,1.912286,0.000247,0.00026
1.854469,1.911563,0.000246,0.00026
1.853785,1.91084,0.000245,0.000259
1.853099,1.910117,0.000245,0.000258
1.852413,1.909392,0.000244,0.000258
1.851726,1.908667,0.000244,0.000257
1.851039,1.907942,0.000243,0.000257
1.850351,1.907216,0.000242,0.000256
1.849663,1.906489,0.000242,0.000255
1.848974,1.905762,0.000241,0.000255
1.848285,1.905034,0.000241,0.000254
1.847594,1.904305,0.00024,0.000254
1.846904,1.903576,0.00024,0.000253
1.846213,1.902846,0.000239,0.000253
1.84552,1.902116,0.000239,0.000252
1.844828,1.901384,0.000238,0.000252
1.844135,1.900653,0.000238,0.000251
1.843441,1.89992,0.000238,0.000251
1.842746,1.899187,0.000237,0.00025
1.842051,1.898453,0.000237,0.00025
1.841356,1.897718,0.000236,0.00025
1.840659,1.896983,0.000236,0.000249
1.839962,1.896247,0.000236,0.000249
1.839264,1.89551,0.000235,0.000248
1.838566,1.894773,0.000235,0.000248
1.837867,1.894035,0.000235,0.000248
1.837167,1.893296,0.000234,0.000247
1.836467,1.892557,0.000234,0.000247
1.835766,1.891816,0.000234,0.000247
1.835064,1.891075,0.000234,0.000247
1.834362,1.890333,0.000233,0.000246
1.833658,1.889591,0.000233,0.000246
1.832955,1.888848,0.000233,0.000246
1.83225,1.888104,0.000233,0.000246
1.831545,1.887359,0.000232,0.000245
1.830839,1.886614,0.000232,0.000245
1.830132,1.885867,0.000232,0.000245
1.829425,1.88512,0.000232,0.000245
1.828717,1.884373,0.000232,0.000245
1.828008,1.883624,0.000232,0.000245
1.827298,1.882875,0.000231,0.000244
1.826588,1.882125,0.000231,0.000244
1.825877,1.881374,0.000231,0.000244
1.825165,1.880622,0.000231,0.000244
1.824453,1.879869,0.000231,0.000244
1.823739,1.879116,0.000231,0.000244
1.823025,1.878362,0.000231,0.000244
1.82231,1.877607,0.000231,0.000244
1.821595,1.876851,0.000231,0.000244
1.820879,1.876095,0.000231,0.000244
1.820161,1.875337,0.000231,0.000244
1.819443,1.874579,0.000231,0.000244
1.818725,1.87382,0.000231,0.000244
1.818005,1.87306,0.000231,0.000244
1.817285,1.8723,0.000231,0.000244
1.816564,1.871538,0.000231,0.000244
1.815842,1.870776,0.000231,0.000244
1.81512,1.870013,0.000231,0.000244
1.814396,1.869248,0.000231,0.000244
1.813672,1.868484,0.000231,0.000244
1.812947,1.867718,0.000231,0.000244
1.812221,1.866951,0.000231,0.000244
1.811494,1.866184,0.000231,0.000244
1.810767,1.865415,0.000231,0.000244
1.810039,1.864646,0.000231,0.000244
1.80931,1.863876,0.000231,0.000244
