,xy-ITO ,trace spacing,bridge
168,4.995077388855464,4.960139888648374,5.054494783602384
169,4.656988346683936,4.635448434544181,4.6617165234304165
170,4.3310110140052345,4.3232447917251795,4.288092032412533
171,4.026691809035267,4.032879818970257,3.945995512240445
172,3.7490568928332135,3.769370245241689,3.6425279873822713
173,3.499930114198133,3.534718058904749,3.381225343427486
174,3.2915108152449366,3.3405344613579775,3.176880266701217
175,3.130651158846857,3.1931837179699136,3.0372433269501724
176,3.0155098764768167,3.0909320187482945,2.9605611544316015
177,2.9472020540077026,3.034730295696389,2.948084144735331
178,2.926797233104465,3.025326356659633,3.0001525723869014
179,2.9534341773625528,3.061595685485579,3.1145893902153827
180,3.025319413908192,3.141516522701271,3.2881840252958807
181,3.1401531483564162,3.2625387373387187,3.5170070597318275
182,3.2914937374449416,3.417968996983091,3.789448393845178
183,3.473366373168164,3.601768760758902,4.096118944601742
184,3.689155174903411,3.817016134929755,4.444899316671214
185,3.934825516347129,4.059317643948121,4.829570655407143
186,4.197870523040284,4.316238546319682,5.22933694865275
187,4.465731262855273,4.575604635692885,5.62377756609723
188,4.732274452895077,4.831523879921348,6.003982816952654
189,4.998089928362521,5.0843649928143675,6.3731842589533825
190,5.264173378160856,5.33466367663149,6.735769741204667
191,5.525805501372949,5.577573091859025,7.086202457185892
192,5.7714900731681045,5.802331107147747,7.4060054719941775
193,5.993748910998462,6.002172181036669,7.6832655234528
194,6.189376665985563,6.174332918291388,7.913599717265875
195,6.358106870793198,6.318513829860013,8.098775660187952
196,6.497809486750819,6.432869546477353,8.236670547342165
197,6.606381320130944,6.515821248309017,8.3243473936132
198,6.68284462335888,6.566324724888966,8.362845693756901
199,6.725039023696508,6.582696030673526,8.349501225206385
200,6.733935538264486,6.567126494719373,8.283118383919977
201,6.711273142635514,6.521613216263041,8.167321165875267
202,6.656911229602091,6.446092790273974,8.003889062045205
203,6.572407589674767,6.342625838327637,7.795258706938695
204,6.46042503903472,6.21435718561671,7.545408961773313
205,6.323483676636002,6.06417922642246,7.258510328755033
206,6.161036623790529,5.891850187548096,6.9349687715008965
207,5.974610702931588,5.699385664371897,6.577256014588184
208,5.770902245501131,5.493889702631581,6.1947387875697935
209,5.556560172818468,5.282149324522082,5.797458408838312
210,5.337829601812228,5.070327133687037,5.395415134362943
211,5.120125256728684,4.863591397098806,4.997758039116753
212,4.902275018791373,4.660905834714057,4.603868010656731
213,4.681564170063683,4.460080289586106,4.210025271076208
214,4.465297801910986,4.268078732145319,3.827501336474173
215,4.260630158632807,4.091365227967203,3.46787762525768
216,4.070819727338044,3.9327232177065907,3.1368080172222563
217,3.892590871226361,3.7895722584458738,2.828647765080996
218,3.728532384762162,3.664524857892267,2.5467752217986557
219,3.5902538394726955,3.5667017241712164,2.31110603846163
220,3.480127203582225,3.4972141037597533,2.126340833390232
221,3.3968334462460303,3.45442597268234,1.9901556845214468
222,3.340470247929159,3.4375707164935108,1.9028372905793376
223,3.310108839721276,3.445146527505653,1.8625429754820098
224,3.3046482298800544,3.4758647365086963,1.8664356320618998
225,3.3239339765317846,3.5294092086340183,1.912876564567572
226,3.3683029393588484,3.6054295320846865,2.0016323010228327
227,3.436386360788133,3.7013684564939267,2.13075359516018
228,3.5265260189437284,3.815058918504138,2.296846333340609
229,3.637020337416709,3.944381704108778,2.496359245246296
230,3.762975077008241,4.083886719643314,2.7216195383907946
231,3.902489293210791,4.231735582541581,2.9683574232812115
232,4.057426566097162,4.38965419041182,3.2378548231387922
233,4.222997498350614,4.552576144531743,3.522634013013079
234,4.395227402084371,4.716586516596942,3.816103617681564
235,4.57490352357119,4.88214708030226,4.118780981081076
236,4.756713889178312,5.044224496080725,4.422377281876527
237,4.933850152741179,5.197036790579181,4.715999711215357
238,5.1038251506226455,5.338805877202504,4.995251108302126
239,5.267358099995542,5.470181383202689,5.261095320864153
240,5.425178446112993,5.59136432117861,5.515063072373862
241,5.573054227263266,5.6990504471228505,5.750642701457616
242,5.707905217743825,5.791182292898838,5.96299743494652
243,5.8286227671671496,5.867043818374095,6.150713555110328
244,5.933841034733929,5.925852440635985,6.3119645875782435
245,6.02236379364606,5.967091018090883,6.445174940207379
246,6.093337355895935,5.990532466296027,6.549373497104521
