Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
111,0.499608611,76.58279388,12.66536179,4.285458646,0.058765433,0.150234726,0.047300466,0.010102779,4.907731056,0,0,0.376759847,0.915491374
112,0.504109589,74.24056689,13.56561355,5.408578455,0.041443445,0.121332124,0.026826779,0,4.744159696,0,0,1.252287375,0.59919168
113,0.508610568,69.71470499,14.26666359,7.467052323,0.040526163,0.184299549,0.036803535,0,4.438791507,0,0,3.251966663,0.59919168
114,0.513111546,62.8665003,16.05387171,9.948000558,0.060639934,0.223236897,0.096774621,0,3.928725231,0,0,6.344535928,0.477714821
115,0.517612524,53.88363252,18.19808592,13.20788345,0.099933747,0.311401299,0.158731216,0,3.377515425,0,0,10.51154361,0.25127281
116,0.522113503,43.36602469,20.99410805,16.73392939,0.153418355,0.43648469,0.219073778,0,2.759353507,0,0,15.33760754,0
117,0.526614481,34.25983249,23.02793221,19.83668434,0.181644784,0.604859976,0.277457571,0,2.009719889,0,0,19.80186874,0
118,0.53111546,26.35059755,25.44538728,22.28538817,0.226147108,0.689549473,0.366031227,0,1.269815209,0,0,23.36708397,0
119,0.535616438,20.20056058,27.99849543,24.20096545,0.224390991,0.764167129,0.415866616,0,0.789758326,0,0,25.40579548,0
120,0.540117417,17.66954766,30.35525255,24.45592754,0.238189772,0.749032501,0.475386434,0,0.434943517,0,0,25.42511344,0.196606583
121,0.544618395,18.57215394,32.021002,23.53639229,0.225672182,0.729656837,0.53760922,0,0.229589045,0,0,23.42767717,0.720247314
122,0.549119374,21.90099329,32.95115986,21.62844858,0.251734283,0.658576153,0.532162552,0,0.163020529,0,0,20.3213054,1.592599352
123,0.553620352,28.74034939,32.2909216,18.83977636,0.219812247,0.591112554,0.416614168,0,0.189563374,0,0,16.06061532,2.651234984
124,0.558121331,38.60674626,29.93296078,14.96776562,0.224330261,0.433991284,0.296978886,0,0.189563374,0,0,11.71051234,3.637151197
125,0.562622309,48.90298218,26.91502117,11.16298031,0.180843428,0.35139424,0.182258445,0,0.181966409,0,0,7.819187765,4.303366059
126,0.567123288,58.79933676,23.34967677,7.793590167,0.139876411,0.230667166,0.073317141,0,0.129636244,0,0,4.918385665,4.565513667
127,0.571624266,67.7744209,19.67623149,4.879310014,0.085587882,0.155062654,0.039751747,0,0.083057152,0,0,2.708939554,4.597638607
128,0.576125245,74.99633212,16.28692387,2.452832547,0.054749781,0.091979145,0.051207851,0,0.077370664,0,0,1.364085096,4.624518922
129,0.580626223,79.1295634,13.92256017,1.389267564,0.047227924,0.125493352,0.051207851,0,0.077370664,0,0,0.567411123,4.689897949
130,0.585127202,81.31496893,12.38614797,1.19566418,0.060498306,0.161546605,0.044451879,0,0.092178668,0,0,0.240626089,4.503917374
131,0.58962818,82.37198059,11.66061697,1.1728931,0.104772464,0.200205271,0.030827834,0,0.067375473,0,0,0.134234857,4.257093439
132,0.594129159,82.56631469,11.50839468,1.309894256,0.127833585,0.202315246,0.011456103,0,0.068675405,0,0,0.094526196,4.110589832
133,0.598630137,82.24788674,11.73593676,1.598733091,0.168876863,0.168462403,0,0.005984463,0.055178757,0,0,0.094526196,3.924414731
134,0.603131115,82.18830068,11.90322537,1.723770067,0.155903306,0.134948196,0,0.005984463,0.075633453,0,0,0.059654037,3.752580433
